,year,city,country,city_avg_temp,global_avg_temp,moving_avg_global,moving_avg_my_city
1,1797,Pune,India,25.17,8.51,8.39,24.78
2,1798,Pune,India,24.05,8.67,8.590000000000002,24.61
3,1799,Pune,India,24.68,8.51,8.590000000000003,24.365000000000002
4,1800,Pune,India,24.67,8.48,8.495000000000005,24.675000000000004
5,1801,Pune,India,23.94,8.59,8.535000000000004,24.305000000000003
6,1802,Pune,India,25.18,8.58,8.585000000000003,24.560000000000002
7,1803,Pune,India,24.95,8.5,8.540000000000003,25.065000000000005
8,1804,Pune,India,25.33,8.84,8.670000000000002,25.140000000000004
9,1805,Pune,India,24.8,8.56,8.700000000000003,25.065000000000005
10,1806,Pune,India,24.68,8.43,8.495000000000003,24.740000000000002
11,1807,Pune,India,24.0,8.28,8.355,24.340000000000003
18,1814,Pune,India,23.49,7.59,7.665000000000001,23.760000000000005
19,1815,Pune,India,23.58,7.24,7.415,23.535000000000004
20,1816,Pune,India,23.13,6.94,7.09,23.355000000000004
21,1817,Pune,India,23.37,6.98,6.96,23.250000000000007
22,1818,Pune,India,23.8,7.83,7.404999999999999,23.585000000000008
23,1819,Pune,India,23.54,7.37,7.6,23.67
24,1820,Pune,India,23.67,7.62,7.495,23.605000000000004
25,1821,Pune,India,24.24,8.09,7.854999999999999,23.955000000000002
26,1822,Pune,India,24.25,8.19,8.139999999999999,24.244999999999997
27,1823,Pune,India,24.28,7.72,7.954999999999998,24.265
28,1824,Pune,India,24.84,8.55,8.134999999999998,24.560000000000002
29,1825,Pune,India,24.54,8.39,8.469999999999999,24.689999999999998
30,1826,Pune,India,24.64,8.36,8.374999999999998,24.589999999999996
31,1827,Pune,India,24.64,8.81,8.584999999999997,24.639999999999997
32,1828,Pune,India,24.4,8.17,8.489999999999998,24.519999999999996
33,1829,Pune,India,24.23,7.94,8.055,24.314999999999998
34,1830,Pune,India,24.36,8.52,8.23,24.294999999999998
35,1831,Pune,India,24.08,7.64,8.08,24.21999999999999
36,1832,Pune,India,24.29,7.45,7.545,24.184999999999995
37,1833,Pune,India,24.29,8.01,7.73,24.29
38,1834,Pune,India,24.36,8.15,8.08,24.325
39,1835,Pune,India,23.56,7.39,7.7700000000000005,23.959999999999997
40,1836,Pune,India,23.96,7.7,7.545000000000001,23.759999999999998
41,1837,Pune,India,23.92,7.38,7.540000000000001,23.939999999999998
42,1838,Pune,India,23.99,7.51,7.445000000000002,23.954999999999995
43,1839,Pune,India,24.04,7.63,7.570000000000002,24.014999999999993
44,1840,Pune,India,24.12,7.8,7.7150000000000025,24.08
45,1841,Pune,India,23.87,7.69,7.745000000000003,23.995
46,1842,Pune,India,24.18,8.02,7.855000000000002,24.025
47,1843,Pune,India,23.92,8.17,8.095,24.049999999999997
48,1844,Pune,India,23.88,7.65,7.910000000000002,23.899999999999995
49,1845,Pune,India,24.17,7.85,7.750000000000001,24.025
50,1846,Pune,India,24.69,8.55,8.200000000000003,24.43
51,1847,Pune,India,24.15,8.09,8.320000000000004,24.419999999999995
52,1848,Pune,India,24.15,7.98,8.035000000000004,24.14999999999999
53,1849,Pune,India,24.07,7.98,7.980000000000004,24.10999999999999
54,1850,Pune,India,24.23,7.9,7.940000000000003,24.149999999999988
55,1851,Pune,India,24.16,8.18,8.040000000000003,24.19499999999999
56,1852,Pune,India,24.2,8.1,8.140000000000004,24.179999999999986
57,1853,Pune,India,24.41,8.04,8.070000000000004,24.304999999999986
58,1854,Pune,India,24.53,8.21,8.125000000000004,24.469999999999985
59,1855,Pune,India,24.55,8.11,8.160000000000004,24.539999999999985
60,1856,Pune,India,24.04,8.0,8.055000000000003,24.294999999999987
61,1857,Pune,India,23.69,7.76,7.880000000000003,23.864999999999988
62,1858,Pune,India,24.35,8.1,7.930000000000003,24.019999999999992
63,1859,Pune,India,24.41,8.25,8.175000000000004,24.379999999999995
64,1860,Pune,India,24.19,7.96,8.105000000000004,24.299999999999994
65,1861,Pune,India,24.06,7.85,7.905000000000005,24.124999999999993
66,1862,Pune,India,21.86,7.56,7.705000000000004,22.959999999999994
70,1866,Pune,India,24.65,8.29,8.235000000000003,24.644999999999996
71,1867,Pune,India,24.69,8.44,8.365000000000002,24.669999999999995
72,1868,Pune,India,24.61,8.25,8.345000000000002,24.649999999999995
73,1869,Pune,India,24.66,8.43,8.340000000000003,24.634999999999998
74,1870,Pune,India,24.28,8.2,8.315000000000003,24.47
75,1871,Pune,India,24.31,8.12,8.160000000000004,24.295
76,1872,Pune,India,24.32,8.19,8.155000000000003,24.314999999999998
77,1873,Pune,India,24.4,8.35,8.270000000000003,24.36
78,1874,Pune,India,24.42,8.43,8.390000000000004,24.41
79,1875,Pune,India,24.49,7.86,8.145000000000003,24.455000000000002
80,1876,Pune,India,24.89,8.08,7.970000000000002,24.690000000000005
81,1877,Pune,India,25.13,8.54,8.310000000000002,25.010000000000005
82,1878,Pune,India,25.07,8.83,8.685000000000002,25.1
83,1879,Pune,India,24.03,8.17,8.500000000000004,24.550000000000004
84,1880,Pune,India,24.57,8.12,8.145000000000003,24.300000000000008
85,1881,Pune,India,24.51,8.27,8.195000000000004,24.540000000000006
86,1882,Pune,India,24.29,8.13,8.200000000000006,24.400000000000002
87,1883,Pune,India,23.89,7.98,8.055000000000007,24.089999999999996
88,1884,Pune,India,23.94,7.77,7.875000000000006,23.914999999999996
89,1885,Pune,India,24.34,7.92,7.845000000000006,24.139999999999993
